id,source,locality,city_zone,bhk_type,rent_monthly,deposit_amount,area_sqft,furnishing,near_metro,listing_date,scraped_at,listing_url,price_per_sqft
2699,kaggle,Babusahib Palya,Other,2 BHK,17000,,900,Semi-Furnished,,2022-06-25,2026-06-05 22:46:37.485506,,18.89
2700,kaggle,"Kumaraswamy Layout, Kumaraswamy Layout",Other,1 BHK,7500,,500,Furnished,,2022-06-23,2026-06-05 22:46:37.485506,,15.00
2701,kaggle,Nri Layout,Other,2 BHK,15000,,1100,Unfurnished,,2022-05-27,2026-06-05 22:46:37.485506,,13.64
2702,kaggle,"Balaji Layout -Hongasandra, Hongasandra",Other,1 BHK,7500,,500,Semi-Furnished,,2022-06-27,2026-06-05 22:46:37.485506,,15.00
2703,kaggle,Vijaya Bank Layout,Other,3 BHK,25000,,1260,Furnished,,2022-04-28,2026-06-05 22:46:37.485506,,19.84
2704,kaggle,"Jaya Nagar Block 1, Jayanagar",South,3 BHK,54000,,1750,Semi-Furnished,,2022-06-30,2026-06-05 22:46:37.485506,,30.86
2706,kaggle,Nelamangala,Other,1 BHK,4500,,450,Semi-Furnished,,2022-06-20,2026-06-05 22:46:37.485506,,10.00
2707,kaggle,Yelahanka New Town,North,2 BHK,10500,,800,Semi-Furnished,,2022-06-27,2026-06-05 22:46:37.485506,,13.12
2708,kaggle,Hongasandra,Other,1 BHK,5500,,400,Unfurnished,,2022-05-27,2026-06-05 22:46:37.485506,,13.75
2709,kaggle,Girinagar,Other,2 BHK,16000,,600,Unfurnished,,2022-06-13,2026-06-05 22:46:37.485506,,26.67
2710,kaggle,T Dasarahalli,Other,1 BHK,7000,,400,Unfurnished,,2022-06-04,2026-06-05 22:46:37.485506,,17.50
2712,kaggle,Jogupalya,Other,2 BHK,10000,,1200,Semi-Furnished,,2022-06-08,2026-06-05 22:46:37.485506,,8.33
2715,kaggle,in Bannerghatta Road,South,3 BHK,12000,,1200,Unfurnished,,2022-06-17,2026-06-05 22:46:37.485506,,10.00
2716,kaggle,"Electronic City Phase 2, Electronic City",South,2 BHK,13000,,1000,Unfurnished,,2022-05-23,2026-06-05 22:46:37.485506,,13.00
2717,kaggle,Hebbal,North,2 BHK,50000,,1280,Furnished,,2022-05-18,2026-06-05 22:46:37.485506,,39.06
2719,kaggle,"Garebhavipalya, Hongasandra, Hosur Road",Other,2 BHK,30000,,450,Unfurnished,,2022-06-14,2026-06-05 22:46:37.485506,,66.67
2720,kaggle,Btm Layout Stage 4,South,1 BHK,10000,,600,Semi-Furnished,,2022-06-08,2026-06-05 22:46:37.485506,,16.67
2721,kaggle,Konanakunte,Other,2 BHK,15000,,800,Semi-Furnished,,2022-05-04,2026-06-05 22:46:37.485506,,18.75
2722,kaggle,Basaveshwar Nagar,Other,1 BHK,7500,,500,Unfurnished,,2022-06-04,2026-06-05 22:46:37.485506,,15.00
2724,kaggle,Hebbal,North,3 BHK,65000,,2000,Semi-Furnished,,2022-07-06,2026-06-05 22:46:37.485506,,32.50
2725,kaggle,Koramangala Block 4,South,1 BHK,12000,,500,Semi-Furnished,,2022-07-06,2026-06-05 22:46:37.485506,,24.00
2726,kaggle,"Aecs Layout-Singasandra, Singasandra, Hosur Road",Other,1 BHK,7000,,500,Semi-Furnished,,2022-07-06,2026-06-05 22:46:37.485506,,14.00
2729,kaggle,"Kalasipalyam, Kalasipalyam",Other,2 BHK,30000,,1200,Semi-Furnished,,2022-06-20,2026-06-05 22:46:37.485506,,25.00
2730,kaggle,"Tilak Nagar, Jayanagar, bannerghatta main Road",South,1 BHK,8000,,500,Unfurnished,,2022-05-27,2026-06-05 22:46:37.485506,,16.00
2732,kaggle,Electronic City,South,1 BHK,7500,,440,Semi-Furnished,,2022-06-21,2026-06-05 22:46:37.485506,,17.05
2733,kaggle,Sarjapur Road,East,2 BHK,20000,,1040,Semi-Furnished,,2022-05-18,2026-06-05 22:46:37.485506,,19.23
2734,kaggle,whitefield,East,4 BHK,110000,,2900,Furnished,,2022-05-27,2026-06-05 22:46:37.485506,,37.93
2735,kaggle,Nagondanahalli,Other,3 BHK,30000,,1200,Semi-Furnished,,2022-07-07,2026-06-05 22:46:37.485506,,25.00
2736,kaggle,"Isro Layout, Kumaraswamy Layout",Other,3 BHK,20000,,1600,Semi-Furnished,,2022-06-30,2026-06-05 22:46:37.485506,,12.50
2738,kaggle,JAR Shikara,Other,2 BHK,17000,,1000,Semi-Furnished,,2022-06-08,2026-06-05 22:46:37.485506,,17.00
2739,kaggle,Medahalli,Other,2 BHK,15000,,1200,Semi-Furnished,,2022-07-04,2026-06-05 22:46:37.485506,,12.50
2740,kaggle,"Electronic City Phase 2, Electronic City",South,1 BHK,6000,,400,Semi-Furnished,,2022-05-26,2026-06-05 22:46:37.485506,,15.00
2727,kaggle,Mahadevapura,East,1 BHK,9000,,800,Unfurnished,,2022-06-20,2026-06-05 22:46:37.485506,,11.25
2688,kaggle,Ramamurthy Nagar,East,2 BHK,10500,,800,Semi-Furnished,,2022-05-10,2026-06-05 22:46:37.485506,,13.12
2680,kaggle,C V Raman Nagar,East,2 BHK,17000,,1040,Furnished,,2022-06-04,2026-06-05 22:46:37.485506,,16.35
2695,kaggle,C V Raman Nagar,East,1 BHK,15000,,600,Semi-Furnished,,2022-06-02,2026-06-05 22:46:37.485506,,25.00
2705,kaggle,Maruthi Sevanagar,East,1 BHK,14500,,600,Semi-Furnished,,2022-05-24,2026-06-05 22:46:37.485506,,24.17
2713,kaggle,Maruthi Sevanagar,East,2 BHK,18000,,1045,Semi-Furnished,,2022-05-04,2026-06-05 22:46:37.485506,,17.22
2728,kaggle,Banaswadi,East,2 BHK,23000,,1100,Semi-Furnished,,2022-06-20,2026-06-05 22:46:37.485506,,20.91
2690,kaggle,J P Nagar,South,1 BHK,9500,,900,Semi-Furnished,,2022-05-10,2026-06-05 22:46:37.485506,,10.56
2723,kaggle,"Jp Nagar Phase 7, J P Nagar",South,3 BHK,45000,,1680,Semi-Furnished,,2022-07-06,2026-06-05 22:46:37.485506,,26.79
2714,kaggle,"Balaji Gardens Layout, Gottigere",South,3 BHK,28000,,1021,Furnished,,2022-05-02,2026-06-05 22:46:37.485506,,27.42
2686,kaggle,Padmanabha Nagar,South,2 BHK,17000,,1000,Semi-Furnished,,2022-06-04,2026-06-05 22:46:37.485506,,17.00
2737,kaggle,Banashankari,South,4 BHK,84000,,3150,Unfurnished,,2022-05-11,2026-06-05 22:46:37.485506,,26.67
2718,kaggle,Jalahalli East,North,1 BHK,7000,,450,Semi-Furnished,,2022-06-21,2026-06-05 22:46:37.485506,,15.56
2742,kaggle,Byatarayanapura,Other,2 BHK,9500,,530,Semi-Furnished,,2022-06-07,2026-06-05 22:46:37.485506,,17.92
2744,kaggle,"Dwarka Nagar, Kattigenahalli",Other,2 BHK,15000,,1000,Semi-Furnished,,2022-06-22,2026-06-05 22:46:37.485506,,15.00
2745,kaggle,Btm Layout,South,1 BHK,12000,,450,Unfurnished,,2022-05-23,2026-06-05 22:46:37.485506,,26.67
2746,kaggle,"Jeevan Bima Nagar, Airport Road",Other,1 BHK,10000,,600,Semi-Furnished,,2022-06-06,2026-06-05 22:46:37.485506,,16.67
2747,kaggle,"Jaya Nagar Block 7, Jayanagar",South,2 BHK,16000,,1100,Unfurnished,,2022-06-23,2026-06-05 22:46:37.485506,,14.55
2748,kaggle,Chamrajpet,Other,1 BHK,11000,,400,Unfurnished,,2022-06-30,2026-06-05 22:46:37.485506,,27.50
2749,kaggle,"Hosa Road, off Hosur Road",Other,2 BHK,11000,,700,Unfurnished,,2022-06-30,2026-06-05 22:46:37.485506,,15.71
2750,kaggle,"Electronics City Phase 1, Electronic City",South,2 BHK,20000,,1105,Semi-Furnished,,2022-07-04,2026-06-05 22:46:37.485506,,18.10
2751,kaggle,Subramanyapura,Other,3 BHK,24000,,1430,Semi-Furnished,,2022-07-04,2026-06-05 22:46:37.485506,,16.78
2753,kaggle,Byatarayanapura,Other,1 BHK,4000,,650,Unfurnished,,2022-05-23,2026-06-05 22:46:37.485506,,6.15
2754,kaggle,Kempapura Agrahara,Other,2 BHK,12000,,1200,Unfurnished,,2022-05-23,2026-06-05 22:46:37.485506,,10.00
2755,kaggle,Vijayanagar,South,2 BHK,8500,,600,Unfurnished,,2022-07-04,2026-06-05 22:46:37.485506,,14.17
2756,kaggle,Munnekollal,Other,1 BHK,9000,,400,Semi-Furnished,,2022-06-26,2026-06-05 22:46:37.485506,,22.50
2758,kaggle,"Ananda Puram, Jeevan Bima Nagar",Other,2 BHK,10500,,1100,Semi-Furnished,,2022-05-06,2026-06-05 22:46:37.485506,,9.55
2759,kaggle,"Electronic City Phase 2, Electronic City",South,2 BHK,12000,,900,Unfurnished,,2022-05-29,2026-06-05 22:46:37.485506,,13.33
2760,kaggle,"Hrbr Layout, Kalyan Nagar, Outer Ring Road",Other,3 BHK,32000,,1300,Semi-Furnished,,2022-06-12,2026-06-05 22:46:37.485506,,24.62
2762,kaggle,"Vishweshwaraiah Layout, Annapurneshwari Nagar",Other,3 BHK,21000,,1000,Furnished,,2022-06-24,2026-06-05 22:46:37.485506,,21.00
2763,kaggle,Babusapalya,Other,2 BHK,12000,,900,Unfurnished,,2022-06-06,2026-06-05 22:46:37.485506,,13.33
2764,kaggle,Babusapalya,Other,1 BHK,7000,,800,Unfurnished,,2022-06-06,2026-06-05 22:46:37.485506,,8.75
2765,kaggle,Hutchins Road,Other,2 BHK,15000,,750,Unfurnished,,2022-05-12,2026-06-05 22:46:37.485506,,20.00
2766,kaggle,Nisarga capital appartment,Other,2 BHK,11400,,1100,Unfurnished,,2022-05-10,2026-06-05 22:46:37.485506,,10.36
2769,kaggle,"Hbr Layout Block 4, HBR Layout",Other,2 BHK,27000,,1000,Semi-Furnished,,2022-07-04,2026-06-05 22:46:37.485506,,27.00
2770,kaggle,Frazer Town,Other,3 BHK,48000,,2000,Semi-Furnished,,2022-05-18,2026-06-05 22:46:37.485506,,24.00
2771,kaggle,Chikkalasandra,Other,1 BHK,7000,,550,Semi-Furnished,,2022-06-04,2026-06-05 22:46:37.485506,,12.73
2772,kaggle,whitefield,East,2 BHK,15000,,1130,Unfurnished,,2022-06-12,2026-06-05 22:46:37.485506,,13.27
2773,kaggle,Abbigere,Other,2 BHK,10000,,600,Semi-Furnished,,2022-06-27,2026-06-05 22:46:37.485506,,16.67
2774,kaggle,Chikkabanavara,Other,1 BHK,7000,,100,Semi-Furnished,,2022-05-16,2026-06-05 22:46:37.485506,,70.00
2775,kaggle,"Meenakshi Layout, Kengeri",Other,2 BHK,9000,,500,Semi-Furnished,,2022-06-20,2026-06-05 22:46:37.485506,,18.00
2776,kaggle,Rajajinagar,West,1 BHK,8000,,600,Unfurnished,,2022-05-10,2026-06-05 22:46:37.485506,,13.33
2777,kaggle,Mahatma Gandhi Road,Other,2 BHK,35000,,1200,Semi-Furnished,,2022-05-31,2026-06-05 22:46:37.485506,,29.17
2779,kaggle,Madanayakahalli,Other,1 BHK,4500,,600,Unfurnished,,2022-05-27,2026-06-05 22:46:37.485506,,7.50
2780,kaggle,Sivanchetti Gardens,Other,2 BHK,16000,,600,Unfurnished,,2022-05-23,2026-06-05 22:46:37.485506,,26.67
2781,kaggle,Nagavara,Other,2 BHK,10000,,700,Semi-Furnished,,2022-06-23,2026-06-05 22:46:37.485506,,14.29
2782,kaggle,Hebbal,North,1 BHK,8000,,400,Unfurnished,,2022-06-20,2026-06-05 22:46:37.485506,,20.00
2783,kaggle,Thammenahalli Apartmentge,Other,1 BHK,6000,,400,Semi-Furnished,,2022-05-23,2026-06-05 22:46:37.485506,,15.00
2786,kaggle,Magadi Road,Other,3 BHK,55000,,1603,Semi-Furnished,,2022-05-14,2026-06-05 22:46:37.485506,,34.31
2787,kaggle,Bagalakunte,Other,3 BHK,15000,,1200,Semi-Furnished,,2022-05-14,2026-06-05 22:46:37.485506,,12.50
2792,kaggle,Ragavendra Industrial Estate,Other,2 BHK,6000,,700,Unfurnished,,2022-06-23,2026-06-05 22:46:37.485506,,8.57
2794,kaggle,"Dooravani Nagar, Dooravani Nagar",Other,1 BHK,8000,,800,Unfurnished,,2022-05-31,2026-06-05 22:46:37.485506,,10.00
2795,kaggle,Hommadevanahalli,Other,1 BHK,7500,,550,Semi-Furnished,,2022-06-21,2026-06-05 22:46:37.485506,,13.64
2796,kaggle,"Ms Palya, Vidyaranyapura",Other,2 BHK,9500,,750,Semi-Furnished,,2022-05-27,2026-06-05 22:46:37.485506,,12.67
2800,kaggle,"Btm Layout Stage 2, BTM Layout",South,2 BHK,12000,,800,Unfurnished,,2022-06-08,2026-06-05 22:46:37.485506,,15.00
2801,kaggle,"Sanjeevini Nagar, Hegganahalli",Other,4 BHK,100000,,3700,Semi-Furnished,,2022-05-18,2026-06-05 22:46:37.485506,,27.03
2802,kaggle,Electronic City,South,2 BHK,12000,,1200,Unfurnished,,2022-07-08,2026-06-05 22:46:37.485506,,10.00
2803,kaggle,"Prakruthi Township, Hennur",Other,1 BHK,8500,,480,Furnished,,2022-06-20,2026-06-05 22:46:37.485506,,17.71
2804,kaggle,"M C Layout, Vijayanagar, Magadi Road",South,2 BHK,18000,,1000,Semi-Furnished,,2022-07-01,2026-06-05 22:46:37.485506,,18.00
2805,kaggle,"Dr.Shivaram Karanth Nagar, Jakkuru",Other,1 BHK,11000,,800,Semi-Furnished,,2022-06-27,2026-06-05 22:46:37.485506,,13.75
2788,kaggle,"Murugeshpalya, Airport Road",East,1 BHK,12000,,420,Semi-Furnished,,2022-07-07,2026-06-05 22:46:37.485506,,28.57
2743,kaggle,"Udayanagar Extension, Mahadevapura",East,1 BHK,8000,,300,Unfurnished,,2022-06-16,2026-06-05 22:46:37.485506,,26.67
2798,kaggle,Ramamurthy Nagar,East,1 BHK,9000,,600,Semi-Furnished,,2022-05-22,2026-06-05 22:46:37.485506,,15.00
2761,kaggle,Horamavu kelkkeri road,East,2 BHK,15000,,1000,Semi-Furnished,,2022-05-25,2026-06-05 22:46:37.485506,,15.00
2784,kaggle,Horamavu,East,2 BHK,13000,,1000,Unfurnished,,2022-06-30,2026-06-05 22:46:37.485506,,13.00
2757,kaggle,"Sarakki Nagar, J P Nagar",South,4 BHK,180000,,2800,Furnished,,2022-05-27,2026-06-05 22:46:37.485506,,64.29
2767,kaggle,"Jp Nagar Phase 1, J P Nagar",South,2 BHK,15000,,1200,Semi-Furnished,,2022-04-28,2026-06-05 22:46:37.485506,,12.50
2789,kaggle,Gottigere,South,2 BHK,9000,,1200,Semi-Furnished,,2022-07-07,2026-06-05 22:46:37.485506,,7.50
2790,kaggle,Gottigere,South,3 BHK,36000,,1771,Semi-Furnished,,2022-07-07,2026-06-05 22:46:37.485506,,20.33
2778,kaggle,Bilekahalli,South,2 BHK,16000,,850,Semi-Furnished,,2022-05-31,2026-06-05 22:46:37.485506,,18.82
2791,kaggle,No 309 6th A cross Banashankari 1st stage 2nd block Bangalore 560050,South,3 BHK,37000,,1200,Semi-Furnished,,2022-06-16,2026-06-05 22:46:37.485506,,30.83
2797,kaggle,Mathikere,North,2 BHK,13500,,700,Semi-Furnished,,2022-06-04,2026-06-05 22:46:37.485506,,19.29
2793,kaggle,"Jalahalli, Jalahalli, Outer Ring Road",North,1 BHK,17000,,610,Semi-Furnished,,2022-05-31,2026-06-05 22:46:37.485506,,27.87
2806,kaggle,Rajajinagar,West,3 BHK,18000,,900,Furnished,,2022-05-27,2026-06-05 22:46:37.485506,,20.00
2808,kaggle,Rajajinagar,West,1 BHK,6500,,400,Unfurnished,,2022-06-20,2026-06-05 22:46:37.485506,,16.25
2809,kaggle,Near coffee board layout,Other,2 BHK,11500,,700,Semi-Furnished,,2022-05-18,2026-06-05 22:46:37.485506,,16.43
2811,kaggle,"Lakkasandra, Wilson Garden, bannerghatta main road",South,1 BHK,13000,,450,Furnished,,2022-05-16,2026-06-05 22:46:37.485506,,28.89
2812,kaggle,Mysore Road,Other,3 BHK,20000,,773,Semi-Furnished,,2022-06-16,2026-06-05 22:46:37.485506,,25.87
2813,kaggle,Kengeri,Other,2 BHK,10000,,1200,Semi-Furnished,,2022-05-27,2026-06-05 22:46:37.485506,,8.33
2814,kaggle,Begur Koppa Rd,Other,2 BHK,15000,,1000,Unfurnished,,2022-05-27,2026-06-05 22:46:37.485506,,15.00
2815,kaggle,B.Narayanapura,Other,1 BHK,8000,,150,Unfurnished,,2022-06-10,2026-06-05 22:46:37.485506,,53.33
2816,kaggle,Ananth Nagar,Other,2 BHK,12000,,865,Semi-Furnished,,2022-06-04,2026-06-05 22:46:37.485506,,13.87
2818,kaggle,Basavanagudi,Other,2 BHK,20000,,800,Semi-Furnished,,2022-05-23,2026-06-05 22:46:37.485506,,25.00
2819,kaggle,Old Airport Road,Other,1 BHK,8000,,200,Semi-Furnished,,2022-05-31,2026-06-05 22:46:37.485506,,40.00
2820,kaggle,Hebbal,North,1 BHK,11000,,600,Unfurnished,,2022-06-02,2026-06-05 22:46:37.485506,,18.33
2822,kaggle,Hegganahalli,Other,2 BHK,10000,,800,Semi-Furnished,,2022-06-04,2026-06-05 22:46:37.485506,,12.50
2823,kaggle,"Hrbr Layout Block 2, Kalyan Nagar, Outer Ring Road",Other,3 BHK,30000,,1600,Semi-Furnished,,2022-06-20,2026-06-05 22:46:37.485506,,18.75
2824,kaggle,Electronic City,South,2 BHK,8000,,600,Unfurnished,,2022-06-30,2026-06-05 22:46:37.485506,,13.33
2825,kaggle,"Vishwapriya Nagar, Begur",Other,2 BHK,15000,,1100,Unfurnished,,2022-06-28,2026-06-05 22:46:37.485506,,13.64
2826,kaggle,Nri Layout,Other,2 BHK,12000,,950,Semi-Furnished,,2022-05-27,2026-06-05 22:46:37.485506,,12.63
2828,kaggle,"Ms Palya, Vidyaranyapura",Other,3 BHK,20000,,1200,Semi-Furnished,,2022-04-28,2026-06-05 22:46:37.485506,,16.67
2830,kaggle,Electronic City,South,2 BHK,17500,,1080,Furnished,,2022-06-05,2026-06-05 22:46:37.485506,,16.20
2831,kaggle,Kamala Nagar,Other,1 BHK,8000,,600,Semi-Furnished,,2022-05-10,2026-06-05 22:46:37.485506,,13.33
2832,kaggle,Kachohalli,Other,2 BHK,8500,,1000,Semi-Furnished,,2022-05-31,2026-06-05 22:46:37.485506,,8.50
2833,kaggle,Bommanahalli,South,1 BHK,7500,,600,Semi-Furnished,,2022-05-23,2026-06-05 22:46:37.485506,,12.50
2834,kaggle,Rmv Extension Stage 2,Other,2 BHK,22000,,1100,Semi-Furnished,,2022-05-31,2026-06-05 22:46:37.485506,,20.00
2835,kaggle,Nagarbhavi,Other,1 BHK,6000,,300,Unfurnished,,2022-06-04,2026-06-05 22:46:37.485506,,20.00
2836,kaggle,Marathahalli,East,2 BHK,32900,,1200,Furnished,,2022-07-04,2026-06-05 22:46:37.485506,,27.42
2838,kaggle,"Moodalaplya, Vijayanagar",South,2 BHK,10000,,535,Unfurnished,,2022-05-23,2026-06-05 22:46:37.485506,,18.69
2839,kaggle,"Bedarahalli, Magadi Road",Other,2 BHK,10000,,800,Unfurnished,,2022-06-15,2026-06-05 22:46:37.485506,,12.50
2840,kaggle,Electronic City,South,3 BHK,21000,,1159,Unfurnished,,2022-05-05,2026-06-05 22:46:37.485506,,18.12
2842,kaggle,Kodigehalli,Other,1 BHK,6900,,50,Semi-Furnished,,2022-05-25,2026-06-05 22:46:37.485506,,138.00
2843,kaggle,Vijayanagar,South,2 BHK,14000,,700,Unfurnished,,2022-05-14,2026-06-05 22:46:37.485506,,20.00
2845,kaggle,Rukmini Nagar,Other,1 BHK,6500,,700,Semi-Furnished,,2022-06-04,2026-06-05 22:46:37.485506,,9.29
2846,kaggle,Vibhutipura,Other,2 BHK,13000,,600,Unfurnished,,2022-06-23,2026-06-05 22:46:37.485506,,21.67
2848,kaggle,Hebbal Kempapura,North,2 BHK,18000,,1000,Semi-Furnished,,2022-06-14,2026-06-05 22:46:37.485506,,18.00
2849,kaggle,Rajajinagar,West,2 BHK,20000,,1100,Semi-Furnished,,2022-05-19,2026-06-05 22:46:37.485506,,18.18
2851,kaggle,Kannur,Other,4 BHK,50000,,2900,Furnished,,2022-05-23,2026-06-05 22:46:37.485506,,17.24
2852,kaggle,Bhattarahalli,Other,2 BHK,14500,,990,Unfurnished,,2022-06-25,2026-06-05 22:46:37.485506,,14.65
2853,kaggle,Raghuvanahalli-Bcmc Layout,Other,2 BHK,15000,,1300,Furnished,,2022-05-01,2026-06-05 22:46:37.485506,,11.54
2855,kaggle,Chandapura,Other,3 BHK,15000,,1360,Semi-Furnished,,2022-06-07,2026-06-05 22:46:37.485506,,11.03
2856,kaggle,"Marutinagar,",Other,2 BHK,12000,,600,Semi-Furnished,,2022-06-01,2026-06-05 22:46:37.485506,,20.00
2857,kaggle,Electronic City,South,2 BHK,18000,,1200,Semi-Furnished,,2022-05-04,2026-06-05 22:46:37.485506,,15.00
2858,kaggle,Electronic City,South,2 BHK,15000,,1050,Semi-Furnished,,2022-05-14,2026-06-05 22:46:37.485506,,14.29
2859,kaggle,Medahalli,Other,2 BHK,12000,,840,Semi-Furnished,,2022-06-23,2026-06-05 22:46:37.485506,,14.29
2860,kaggle,Hoysala Nagar,Other,2 BHK,25000,,1050,Semi-Furnished,,2022-06-16,2026-06-05 22:46:37.485506,,23.81
2861,kaggle,Vasanth Nagar,Other,3 BHK,150000,,3250,Furnished,,2022-05-18,2026-06-05 22:46:37.485506,,46.15
2862,kaggle,Nagarabhavi,Other,1 BHK,10000,,500,Unfurnished,,2022-05-23,2026-06-05 22:46:37.485506,,20.00
2865,kaggle,"Shamanna Garden, Wilson Garden",Other,2 BHK,12000,,600,Unfurnished,,2022-05-30,2026-06-05 22:46:37.485506,,20.00
2866,kaggle,Kodi Halli,Other,2 BHK,16000,,900,Semi-Furnished,,2022-05-20,2026-06-05 22:46:37.485506,,17.78
2867,kaggle,Kodi Halli,Other,2 BHK,23000,,1100,Semi-Furnished,,2022-05-20,2026-06-05 22:46:37.485506,,20.91
2869,kaggle,Kadugodi,Other,1 BHK,7000,,600,Unfurnished,,2022-06-08,2026-06-05 22:46:37.485506,,11.67
2871,kaggle,"Jeevan Bima Nagar, Airport Road",Other,1 BHK,10000,,415,Semi-Furnished,,2022-06-16,2026-06-05 22:46:37.485506,,24.10
2872,kaggle,Vidyaranyapura,Other,3 BHK,39000,,1200,Furnished,,2022-06-04,2026-06-05 22:46:37.485506,,32.50
2844,kaggle,Mahadevapura,East,1 BHK,14500,,550,Semi-Furnished,,2022-05-31,2026-06-05 22:46:37.485506,,26.36
2868,kaggle,"Jagadish Nagar, Kaggadasapura",East,2 BHK,25000,,1100,Semi-Furnished,,2022-05-20,2026-06-05 22:46:37.485506,,22.73
2821,kaggle,Horamavu,East,3 BHK,40000,,1840,Semi-Furnished,,2022-06-14,2026-06-05 22:46:37.485506,,21.74
2810,kaggle,Banaswadi,East,2 BHK,22000,,1000,Semi-Furnished,,2022-05-10,2026-06-05 22:46:37.485506,,22.00
2837,kaggle,J P Nagar,South,2 BHK,15000,,800,Furnished,,2022-05-23,2026-06-05 22:46:37.485506,,18.75
2850,kaggle,"Jp Nagar Phase 5, J P Nagar, Outer Ring Road",South,1 BHK,14000,,750,Semi-Furnished,,2022-04-28,2026-06-05 22:46:37.485506,,18.67
2827,kaggle,Kanakapura Road,South,2 BHK,12000,,905,Semi-Furnished,,2022-06-07,2026-06-05 22:46:37.485506,,13.26
2841,kaggle,Kanakapura Road,South,4 BHK,63000,,2650,Unfurnished,,2022-06-02,2026-06-05 22:46:37.485506,,23.77
2863,kaggle,Gottigere,South,2 BHK,8000,,900,Semi-Furnished,,2022-05-23,2026-06-05 22:46:37.485506,,8.89
2807,kaggle,Rayasandra,South,3 BHK,17000,,1450,Semi-Furnished,,2022-06-20,2026-06-05 22:46:37.485506,,11.72
2817,kaggle,Rayasandra,South,1 BHK,20000,,600,Semi-Furnished,,2022-06-04,2026-06-05 22:46:37.485506,,33.33
2864,kaggle,Indira Nagar,Central,2 BHK,40000,,1300,Semi-Furnished,,2022-05-22,2026-06-05 22:46:37.485506,,30.77
2847,kaggle,"Mallasandra, Jalahalli West",North,2 BHK,8000,,600,Semi-Furnished,,2022-05-27,2026-06-05 22:46:37.485506,,13.33
2870,kaggle,Yeshwantpur,West,2 BHK,17500,,1250,Unfurnished,,2022-05-31,2026-06-05 22:46:37.485506,,14.00
2873,kaggle,Bommasandra,Other,3 BHK,22000,,1200,Unfurnished,,2022-05-18,2026-06-05 22:46:37.485506,,18.33
2875,kaggle,Bangalore,Other,2 BHK,23000,,1300,Furnished,,2022-05-27,2026-06-05 22:46:37.485506,,17.69
2879,kaggle,Bommanahalli,South,2 BHK,17000,,1000,Semi-Furnished,,2022-06-04,2026-06-05 22:46:37.485506,,17.00
2880,kaggle,Jaya Nagar Block 3,Other,3 BHK,56000,,1900,Unfurnished,,2022-06-04,2026-06-05 22:46:37.485506,,29.47
2881,kaggle,"Arakere Mico Layout, Arakere",Other,3 BHK,43000,,1700,Semi-Furnished,,2022-07-06,2026-06-05 22:46:37.485506,,25.29
2882,kaggle,Seshadripuram,Other,2 BHK,25000,,1100,Semi-Furnished,,2022-06-09,2026-06-05 22:46:37.485506,,22.73
